Name,Quantity,Price,Source
PCB,1,$9.70,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
vibration motor,1,$2.90,https://www.aliexpress.com/item/1005007600971536.html?spm=a2g0o.cart.0.0.4a6238daLhvGzm&mp=1&pdp_npi=6%40dis%21USD%21USD%201.42%21USD%201.28%21%21USD%201.28%21%21%21%40212e532617767331667507994e771a%2112000041460401285%21ct%21MY%216472883746%21%211%210%21
3.7V Lipo Battery 500mAh,1,$5.38,https://www.aliexpress.com/item/1005008218024646.html?spm=a2g0o.cart.0.0.37d938darWyxBJ&mp=1&pdp_npi=6%40dis%21USD%21USD%2011.96%21USD%205.38%21%21USD%205.38%21%21%21%40212e532617767331964088677e771a%2112000044269020510%21ct%21MY%216472883746%21%211%210%21
Tactile buttons,1,$1.25,https://www.aliexpress.com/item/1005006880995108.html?spm=a2g0o.order_list.order_list_main.20.15821802o8oPo7
passive buzzer,1,$1.85,https://www.aliexpress.com/item/4000628450687.html?spm=a2g0o.cart.0.0.2fde38da8paMUM&mp=1&pdp_npi=6%40dis%21USD%21USD%200.53%21USD%200.40%21%21USD%200.40%21%21%21%40212e532617767333810984903e771a%2112000039558816775%21ct%21MY%216472883746%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
ESP32-c6,1,$8.13,https://www.aliexpress.com/item/1005006946443492.html?spm=a2g0o.cart.0.0.10af38daDtVCWj&mp=1&pdp_npi=6%40dis%21USD%21USD%209.05%21USD%206.79%21%21USD%206.79%21%21%21%40212e532617767334762857286e771a%2112000046076884060%21ct%21MY%216472883746%21%211%210%21
0.96 inch OLED,1,$2.57,https://www.aliexpress.com/item/32805708464.html?spm=a2g0o.cart.0.0.77cf38daKM2zCv&mp=1&pdp_npi=6%40dis%21USD%21USD%201.06%21USD%200.98%21%21USD%200.98%21%21%21%40212e532617767336033873405e771a%2166348859850%21ct%21MY%216472883746%21%211%210%21
M3 14mm Screws,1,$1.26,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.order_list.order_list_main.40.15821802o8oPo7
M3 OD4.2 L 4 Heatset inserts,1,$1.05,https://www.aliexpress.com/item/1005007659182107.html?spm=a2g0o.order_list.order_list_main.25.15821802o8oPo7
Total,,$34.09,
